Notes_delete at end;Variable / Field Name;Form Name;Section Header;Field Type;Field Label;Choices, Calculations, OR Slider Labels;Field Note;Text Validation Type OR Show Slider Number;Text Validation Min;Text Validation Max;Identifier?;Branching Logic (Show field only if...);Required Field?;Custom Alignment;Question Number (surveys only);Matrix Group Name;Matrix Ranking?;Field Annotation
;weight_change_v1;visit_1;;radio;Har deltagerens vægt været nogenlunde stabil (+/- 3 kg) gennem de sidste 3 måneder?;1, Ja | 2, Nej;Inklusionskriterium: Ændringer i kropsvægt over 3 måneder ≤3 kg.;;;;;;y;;;;;Participant's self-reported weight stability over the past 3 months (±3 kg). Visit 1.
;weight_change_3months_v1;visit_1;;text;"Hvor meget har deltagerens vægt ændret sig i løbet af de sidste 3 måneder?
";;Eksklusionskriterium: Ændringer i kropsvægt over 3 måneder >3 kg. Angiv i hele tal.  ;number;0;100;;[weight_change_v1] = '2';y;;;;;Participant's self-reported weight change over the past 3 months, stated in kilograms (gain or loss). Visit 1.
;insulin_use_v1;visit_1;"<div class=""rich-text-field-label""><p>Eksklusionskriterier<br><span style=""font-weight: normal;"">Hvis deltageren svarer ja på én eller flere af nedenstående 12 kriterier, kan deltageren ikke inkluderes i ON LiMiT feasibility-studiet.</span></p></div>";radio;1. Har deltageren fået insulinbehandling inden for de sidste 6 måneder (uanset type)?;1, Ja | 2, Nej;Eksklusion hvis Ja.;;;;;;y;;;;;Insulin treatment status within the past 6 months (any type). Visit 1.
;heart_failure_v1;visit_1;;radio;"<div class=""rich-text-field-label""><p>2. Har deltageren hjertesvigt (med en pumpefunktion < 40 %) og er i behandling med eller skal starte i behandling med SGLT-2-hæmmer?</p> <p><span style=""font-weight: normal;""><em>SGLT-2-hæmmere kender deltageren ofte som Forxiga eller Jardiance. </em></span></p> <p><span style=""font-weight: normal;""><em>Medicinlisten skal gennemgås, hvor forsøgsansvarlige læge er indenover. </em></span></p></div>";1, Ja | 2, Nej;Eksklusion hvis Ja. ;;;;;;y;;;;;Presence of heart failure with reduced ejection fraction (EF < 40%) and current or planned treatment with SGLT-2 inhibitors. Self-reported by participant. Visit 1.
;cvd_v1;visit_1;;radio;"<div class=""rich-text-field-label""><p>3. Har deltageren en kendt hjerte-kar-sygdom, der omfatter tidligere blodprop i hjerte eller hjerne, hvor der er ordineret inkretinbaseret medicin og/eller SGLT-2-hæmmer?</p> <p><em><span style=""font-weight: normal;"">Inkretinbaseret medicin kender deltageren ofte som Ozempic eller Rybelsus. </span></em><br><em><span style=""font-weight: normal;"">SGLT-2-hæmmere kender deltageren ofte som Forxiga eller Jardiance.</span></em></p> <p><em><span style=""font-weight: normal;""> Medicinlisten skal gennemgås, hvor forsøgsansvarlige læge er indenover. </span></em></p></div>";1, Ja | 2, Nej;Eksklusion hvis Ja.;;;;;;y;;;;;Established CVD with prescribed GLP-1 RA and/or SGLT-2 inhibitor. Visit 1.
;kidney_disease_v1;visit_1;;radio;"<div class=""rich-text-field-label""><p>4. Har deltageren nyresygdom (eGFR < 60 ml/min og/eller albuminuri (<strong>≥ 30 mg/g</strong>) i mindst 3 måneder) og er i behandling med eller skal starte i behandling med SGLT-2-hæmmere?</p></div>";1, Ja | 2, Nej;Kan tjekkes i SP. eGFR må højst være et år gammelt, ellers må den tages d.d. til screeningsbesøg.;;;;;;y;;;;;Chronic kidney disease defined as eGFR < 60 mL/min/1.73 m² and/or albuminuria ≥ 30 mg/g for ≥ 3 months, with ongoing or planned SGLT-2 inhibitor therapy. Visit 1.
;physical_health_v1;visit_1;;radio;"<div class=""rich-text-field-label""><p>5. Har deltageren somatisk sygdom, der kontraindicerer fysisk aktivitet som planlagt i interventionen?</p> <p><span style=""font-weight: normal;""><em>Har deltageren nogle fysiske helbredsproblemer, der forhindrer deltagelse i fysisk aktivitet som planlagt i interventionen? </em></span></p></div>";1, Ja | 2, Nej;Eksklusion hvis Ja. Tal med Naja (exercise manager), hvis du er i tvivl om helbredsproblemer, som kan forhindre deltagelse i FA.;;;;;;y;;;;;Presence of physical health problems that prevent participation in planned physical activity during the intervention. Self-reported by the participant. Visit 1.
;physical_health_example_v1;visit_1;;text;"<div class=""rich-text-field-label""><p>5a. Hvilke fysiske helbredsproblemer har deltageren, som forhindrer deltagelse i fysisk aktivitet som planlagt i interventionen?</p></div>";;;;;;;[physical_health_v1] = '1';y;;;;;Description of physical health problems preventing participation in planned physical activity during the intervention. Self-reported by participant. Visit 1.
;training_notes_v1;visit_1;;text;"<div class=""rich-text-field-label""><p>Er der noget i forhold til træning, som det er relevant at være opmærksom på?<br><em><span style=""font-weight: normal;"">Det kan fx være rygsmerter eller slidgigt i højre knæ.</span></em></p></div>";;;;;;;;;;;;;Note any relevant physical limitations or conditions that may affect exercise participation, for example back pain or osteoarthritis of the right knee. Visit 1. Added from ID11.
;food_allergies_v1;visit_1;;radio;6. Har deltageren kostrestriktioner eller allergier, der forhindrer overholdelse af den planlagte kostintervention?;1, Ja | 2, Nej;Vær opmærksom på, at mælkeallergi kan gøre det vanskeligt for deltageren at gennemføre NUPO-fasen. Drøft eventuelle allergier og fødevaretolerancer med en projektdiætist (Nikoline eller Gitte) for at vurdere deltagelse i interventionen.;;;;;;y;;;;;Presence of dietary restrictions or allergies that prevent adherence to the planned dietary intervention. Self-reported by participant. Visit 1.
;food_allergies_example_v1;visit_1;;text;6a. Hvilke kostrestriktioner eller fødevareallergier har deltageren, der forhindrer vedkommende i at kunne følge den planlagte diæt?;;;;;;;[food_allergies_v1] = '1';y;;;;;Description of dietary restrictions or food allergies preventing adherence to the planned diet. Self-reported by the participant. Visit 1.
;diet_notes_v1;visit_1;;text;"<div class=""rich-text-field-label""><p>Er der noget ved deltagerens kost, som det er godt at være opmærksom på?<br><em><span style=""font-weight: normal;"">Det kan fx være, at deltageren generelt spiser kulhydratfattigt.</span></em></p></div>";;;;;;;;;;;;;Note any relevant dietary habits or restrictions, for example if the participant generally follows a low-carbohydrate diet. Visit 1. Added from ID11.
;pregnant_v1;visit_1;;radio;7. Er deltageren gravid eller planlægger graviditet inden for det næste år?;1, Ja | 2, Nej | 3, Behov for at udføre graviditetstest;Eksklusion hvis Ja.;;;;;;y;;;;;Participant's pregnancy status or plans to become pregnant within the next year. Self-reported by participant. Visit 1.
;pregnancy_test_result_v1;visit_1;;radio;7a. Hvad var graviditetstesten? ;1, Negativ | 2, Positiv;Eksklusion hvis positiv. ;;;;;[pregnant_v1]='3';y;;;;;Indicates if the participant had a negative or positive pregnancy test. 1: Negative, 2: Positive. Visit 1.
;alcohol_or_substance_misuse_v1;visit_1;;radio;8. Har deltageren et aktuelt alkohol- eller stofmisbrug eller modtager behandling for alkoholafhængighed (fx medicinsk behandling)?;1, Ja | 2, Nej;Eksklusion hvis Ja.;;;;;;y;;;;;Participant's history of alcohol or substance abuse, or current treatment for alcohol dependence (including pharmacological treatment). Self-reported by participant. Visit 1.
;psychiatric_disease_v1;visit_1;;radio;"<div class=""rich-text-field-label""><p>9. Er deltageren diagnosticeret med en psykisk lidelse?</p> <p><span style=""font-weight: normal;""><br></span><span style=""font-weight: normal;"">Som projektmedarbejder kan du sige: </span></p> <p><em><span style=""font-weight: normal;"">Har du nogensinde fået stillet en diagnose af en læge eller psykolog for en psykisk lidelse (fx depression, angst, bipolar lidelse eller lignende)?</span></em></p></div>";1, Ja | 2, Nej;;;;;;;y;;;;;Presence of psychiatric disease. Self-reported by participant. Visit 1.
;psychiatric_disease_specific_v1;visit_1;;text;9a. Hvilke(n) psykisk(e) lidelse(r)?;;Der må overvejes eksklusion ved aktiv psykotisk sygdom, manisk periode inden for det sidste år eller ubehandlet eller behandlingsrefraktær svær depression.  Spørg forsøgsansvarlig læge (Carolien) ved tvivl. ;;;;;[psychiatric_disease_v1]='1';y;;;;;Specification of psychiatric disease. Visit 1.
;psychiatric_disease_medication_change_v1;visit_1;;radio;"<div class=""rich-text-field-label""><p>9b. Hvis deltageren får medicin for psykisk lidelse, har der da været ændringer i medicinen de sidste 3 måneder?<br><br><span style=""font-weight: normal;"">Som projektmedarbejder kan du sige:</span></p> <p><em><span style=""font-weight: normal;"">Tager du medicin for den psykiske lidelse? Hvis ja, har der været ændringer i din medicin inden for de seneste 3 måneder (fx ændret dosis, præparat eller seponering)?</span></em></p></div>";1, Ja | 2, Nej;Der må overvejes eksklusion hvis ja. Tal med forsøgsansvarlig læge (Carolien). ;;;;;[psychiatric_disease_v1]='1';y;;;;;Any changes in psychiatric medication within the last 3 months. Visit 1.
;psychiatric_disease_medication_change_specific_v1;visit_1;;text;"<div class=""rich-text-field-label""><p>9c. Hvilken medicin er der tale om, og hvilke ændringer er der lavet? <br><br><span style=""font-weight: normal;"">Som projektmedarbejder kan du sige:</span></p> <p><em><span style=""font-weight: normal;"">Hvilken medicin drejer det sig om, og hvilke ændringer er der foretaget inden for de seneste 3 måneder?</span></em></p></div>";;;;;;;[psychiatric_disease_medication_change_v1]='1';y;;;;;Specification of changes in psychiatric medication within the last 3 months. Visit 1. Visit 1.
;psychiatric_hospitalization_v1;visit_1;;radio;"<div class=""rich-text-field-label""><p>9d. Har deltageren været set akut eller været indlagt i psykiatrisk regi de sidste 6 måneder?<br><br></p> <p><span style=""font-weight: normal;"">Som projektmedarbejder kan du sige:</span></p> <p><em><span style=""font-weight: normal;"">Har du inden for de seneste 6 måneder haft kontakt til psykiatrisk skadestue eller været indlagt på en psykiatrisk afdeling?</span></em></p></div>";1, Ja | 2, Nej;Der må overvejes eksklusion hvis ja. Tal med forsøgsansvarlig læge (Carolien).;;;;;[psychiatric_disease_v1]='1';y;;;;;Whether the participant has had any acute psychiatric visits or hospital admissions within the last 6 months. Visit 1.
;psychiatric_disease_barrier_v1;visit_1;;radio;9e. Vurderer projektmedarbejder, at psykisk lidelse af anden årsag end ovenstående forhindrer deltagelse i studiet?;1, Ja | 2, Nej;Eksklusion hvis Ja.;;;;;[psychiatric_disease_v1]='1';y;;;;;Whether the participant's mental condition (other than those previously mentioned) is considered to prevent study participation. Assed by study staff. Visit 1.
;psychiatric_disease_barrier_reason_v1;visit_1;;text;9f. Hvad er årsagen hertil? ;;;;;;;[psychiatric_disease_barrier_v1]='1';;;;;;Specify the reason why the mental condition is considered to prevent study participation. Recorded by study staff. Visit 1.
;binge_eating_v1;visit_1;;radio;"<div class=""rich-text-field-label""><p>10a. Er deltageren diagnosticeret med overspisningslidelse (binge eating disorder)?</p> <p><span style=""font-weight: normal;"">Som projektmedarbejder kan du sige: </span></p> <p><span style=""font-weight: normal;""><em>Har en læge eller psykolog nogensinde nævnt, at du kunne have overspisningslidelse (binge eating disorder)?</em></span></p> <p> </p></div>";1, Ja | 2, Nej;Eksklusion hvis Ja.;;;;;;y;;;;;Diagnosis status of binge eating disorder. Self-reported by participant. Visit 1.
;bed_q_diagnostic_score_v1;visit_1;;calc;"<div class=""rich-text-field-label""><p><span style=""background-color: #e67e23;"">OBS: Disse værdier ses, når deltager har udfyldt spørgeskemaet BED-Q. </span></p> <p> </p> <p>10b. Opfylder personen de diagnostiske kriterier for en BED-diagnose (ud fra BED-Q udfyldt til screeningsbesøget)?</p> <p>0 = Nej, 1 = Ja </p> <p><br><em><span style=""font-weight: normal;"">For at opfylde kriterier for en BED diagnose skal: </span></em><br><em><span style=""font-weight: normal;"">• Både spørgsmål 1 og 2 være 2 eller højere. </span></em><br><em><span style=""font-weight: normal;"">• Mindst tre spørgsmål fra 3 til 7 være 2 eller højere. </span></em><br><em><span style=""font-weight: normal;"">• Spørgsmål 8 besvares med ""Nej"" eller ""Ja, mindre end 1 gang om ugen"". </span></em><br><em><span style=""font-weight: normal;"">• Spørgsmål 9 besvares med ""Ja"". </span></em><br><br></p></div>";[besg_1__screening_arm_1][bed_q_diagnostic_score];Eksklusion hvis Ja (1);;;;;;y;;;;;Whether the participant meets the criteria for BED-diagnosis. Visit 1.
;bed_burden_score_v1;visit_1;;calc;"<div class=""rich-text-field-label""><p>10c. BED belastningsscore (fra BED-Q udfyldt til screeningsbesøget)</p> <p><em><span style=""font-weight: normal;"">Skalaen scores ved sammentælling af spørgsmål 1-7 fra 0-5 (spørgsmål 8 tælles ikke med): </span></em><br><em><span style=""font-weight: normal;"">0 = Ingen BED symptomer </span></em><br><em><span style=""font-weight: normal;"">1-9 = Sub-kliniske BED symptomer </span></em><br><em><span style=""font-weight: normal;"">10-14 = Mulig indikation for BED, mild grad </span></em><br><em><span style=""font-weight: normal;"">15-21 = Mulig indikation for BED, moderat grad </span></em><br><em><span style=""font-weight: normal;"">22-28 = Mulig indikation for BED, svær grad </span></em><br><em><span style=""font-weight: normal;"">29-35 = Mulig indikation for BED, ekstrem grad </span></em><br><em><span style=""font-weight: normal;"">Minimum er 0; Maksimum er 35 </span></em></p></div>";[besg_1__screening_arm_1][bed_q_burden_score];;;;;;;y;;;;;BED burden score. Visit 1.
;other_intervention_v1;visit_1;;radio;11. Er deltageren medvirkende (eller planlægger at medvirke) i andre kliniske forsøg, der indebærer livsstilsintervention eller medicinsk behandling? ;1, Ja | 2, Nej;Eksklusion hvis Ja.;;;;;;y;;;;;Participation status or plans to participate in another intervention study (medical or lifestyle) involving alternative treatment. Self-reported by participant. Visit 1.
;language_barrier_v1;visit_1;;radio;12. Har deltageren udfordringer med at forstå dansk - både skriftligt og mundtligt?;1, Ja | 2, Nej;Eksklusion hvis Ja.;;;;;;y;;;;;Participant's difficulties in understanding Danish, both written and spoken. Self-reported by participant and assessed by study staff. Visit 1.
;compliance_risk_v1;visit_1;;radio;13. Er det vurderet, at deltageren vil kunne overholde forsøgets procedurer og/eller interventioner (f.eks. fremmøde, målinger, vejledninger)?;1, Ja | 2, Nej | 3, Til vurdering;"Eksklusion hvis Nej. Hvis ""til vurdering"" tages kontakt til Anne-Ditte, Carolien eller Mie. ";;;;;;y;;;;;Assessment of whether the participant is unlikely to comply with study procedures and/or interventions (e.g., attendance, measurements, counselling). Assessed by study staff. Visit 1.
;compliance_risk_expl_v1;visit_1;;text;13a. Uddyb vurdering.;;;;;;;[compliance_risk_v1]='2' or [compliance_risk_v1]='3';;;;;;Notes explaining the assessment of the participant's likelihood to comply with study procedures and/or interventions. Reported by study staff. Visit 1.
;medicinelist_v1;visit_1;Medicingennemgang - brug medicinlisten fra FMK;radio;Er medicinlisten gennemgået med deltageren og eventuelle ændringer noteret tydeligt?;1, Ja | 2, Nej;Hvis et præparat ikke tages, streges dette ud fra medicinlisten og ophørsdato angives.;;;;;;y;;;;;Indicates if the medicine list from FMK has been reviewed with the participant and possible changes. Visit 4.
;antidiabetics_medicine_v1;visit_1;;checkbox;Deltager tager følgende antidiabetika:;1, Metformin | 2, SGLT-2-hæmmer (Canagliflozin (Invokana), Dapagliflozin (Forxiga), Empagliflozin (Jardiance)) | 3, DPP-IV-hæmmer (Sitagliptin (Januvia), Linagliptin (Trajenta)) | 4, Sulfonylurinstof (Gliclazid, Glimepirid) | 5, GLP-1-receptoragonist (Semaglutid s.c. (Ozempic), Semaglutid p.o. (Rybelsus), Dulaglutid s.c. (Trulicity), Tirzepatid (Mounjaro)) | 6, Andet præparat | 7, Deltager tager ikke antidiabetika;Ved kombinationspræparater, vælg begge typer antidiabetika og skriv dosis for hver type adskilt. Eks. Janumet, Metformin: 500 mg og Sitagliptin: 50 mg.;;;;;;y;;;;;Lists which antidiabetic medications the participant uses. Visit 4.
;metformin_dose_v1;visit_1;;text;Metformin dosis: ;;Mg/dag;number;;;;[antidiabetics_medicine_v1(1)] = '1';y;;;;;States the metformin dose. Mg/day. Visit 4.
;sglt2_type_v1;visit_1;;checkbox;Hvilken SGLT-2-hæmmer?;1, Canagliflozin (Invokana) | 2, Dapagliflozin (Forxiga) | 3, Empagliflozin (Jardiance) | 4, Andet;;;;;;[antidiabetics_medicine_v1(2)] = '1';y;;;;;Specifies which SGLT-2 inhibitor the participant uses. Visit 4.
;canagliflozin_dose_v1;visit_1;;text;Canagliflozin (Invokana) dosis:;;Mg/dag;number;;;;[sglt2_type_v1(1)] = '1';y;;;;;States the Canagliflozin dose. Mg/day. Visit 4.
;dapagliflozin_dose_v1;visit_1;;text;Dapagliflozin (Forxiga) dosis:;;Mg/dag;number;;;;[sglt2_type_v1(2)] = '1';y;;;;;States the Dapagliflozin dose. Mg/day. Visit 4.
;empagliflozin_dose_v1;visit_1;;text;Empagliflozin (Jardiance) dosis:;;Mg/dag;number;;;;[sglt2_type_v1(3)] = '1';y;;;;;States the Empagliflozin dose. Mg/day. Visit 4.
;other_sglt2_v1;visit_1;;text;Anden SGLT-2-hæmmer navn:;;;alpha_only;;;;[sglt2_type_v1(4)] = '1';y;;;;;Specifies the name of the SGLT-2 inhibitor if not reported on the provided list. Visit 4.
;other_sglt2_dose_v1;visit_1;;text;Anden SGLT-2-hæmmer dosis:;;Mg/dag;number;;;;[sglt2_type_v1(4)] = '1';y;;;;;"States the dose of ""other SGLT-2 inhibitor"". Mg/day. Visit 4."
;dppiv_type_v1;visit_1;;checkbox;Hvilken DPP-IV-hæmmer?;1, Sitagliptin (Januvia) | 2, Linagliptin (Trajenta) | 3, Andet;;;;;;[antidiabetics_medicine_v1(3)] = '1';y;;;;;Specifies which DPP-4 inhibitor the participant uses. Visit 4.
;sitagliptin_dose_v1;visit_1;;text;Sitagliptin (Januvia) dosis:;;Mg/dag;number;;;;[dppiv_type_v1(1)] = '1';y;;;;;States the Sitagliptin dose. Mg/day. Visit 4.
;linagliptin_dose_v1;visit_1;;text;Linagliptin (Trajenta) dosis: ;;;;;;;[dppiv_type_v1(2)] = '1';y;;;;;States the Linagliptin dose. Mg/day. Visit 4.
;other_dppiv_v1;visit_1;;text;Anden DPP-IV-hæmmer navn:;;;alpha_only;;;;[dppiv_type_v1(3)] = '1';y;;;;;Specifies the name of the DPP-IV inhibitor if not reported on the provided list. Visit 4.
;other_dppiv_dose_v1;visit_1;;text;Anden DPP-IV-hæmmer dosis:;;Mg/dag;number;;;;[dppiv_type_v1(3)] = '1';y;;;;;"States the dose of ""other DPP-IV inhibitor"". Mg/day. Visit 4."
;sulfonyl_type_v1;visit_1;;checkbox;Hvilket sulfonylurinstof:;1, Gliclazid | 2, Glimepirid | 3, Andet;;;;;;[antidiabetics_medicine_v1(4)] = '1';y;;;;;Specifies which sulfonylurea the participant uses. Visit 4.
;gliclazid_dose_v1;visit_1;;text;Gliclazid dosis:;;Mg/dag;number;;;;[sulfonyl_type_v1(1)] = '1';y;;;;;States the Gliclazid dose. Mg/day. Visit 4.
;glimepirid_dose_v1;visit_1;;text;Glimepirid dosis:;;Mg/dag;number;;;;[sulfonyl_type_v1(2)] = '1';y;;;;;States the Glimepirid dose. Mg/day. Visit 4.
;other_sulfonyl_name_v1;visit_1;;text;Andet sulfonylurinstof navn:;;;alpha_only;;;;[sulfonyl_type_v1(3)] = '1';y;;;;;Specifies the name of the sulfonylurea if not reported on the provided list. Visit 4.
